StudentID,ClassID
1,1
1,2
1,3
1,4
1,9
1,10
2,1
2,2
2,3
2,4
2,9
2,10
3,1
3,2
3,3
3,4
3,9
3,10
4,1
4,2
4,3
4,4
4,9
4,10
5,1
5,2
5,3
5,4
5,9
5,10
6,1
6,2
6,3
6,4
6,9
6,10
7,1
7,2
7,3
7,4
7,9
7,10
8,1
8,2
8,3
8,4
8,9
8,10
9,1
9,2
9,3
9,4
9,9
9,10
10,1
10,2
10,3
10,4
10,9
10,10
11,1
11,2
11,3
11,4
11,9
11,10
12,1
12,2
12,3
12,4
12,9
12,10
13,1
13,2
13,3
13,4
13,11
13,12
14,1
14,2
14,3
14,4
14,11
14,12
15,1
15,2
15,3
15,4
15,11
15,12
16,1
16,2
16,3
16,4
16,11
16,12
17,1
17,2
17,3
17,4
17,11
17,12
18,1
18,2
18,3
18,4
18,11
18,12
19,1
19,2
19,3
19,4
19,11
19,12
20,1
20,2
20,3
20,4
20,11
20,12
21,1
21,2
21,3
21,4
21,11
21,12
22,1
22,2
22,3
22,4
22,11
22,12
23,1
23,2
23,3
23,4
23,11
23,12
24,1
24,2
24,3
24,4
24,11
24,12
25,5
25,6
25,7
25,8
25,13
25,14
26,5
26,6
26,7
26,8
26,13
26,14
27,5
27,6
27,7
27,8
27,13
27,14
28,5
28,6
28,7
28,8
28,13
28,14
29,5
29,6
29,7
29,8
29,13
29,14
30,5
30,6
30,7
30,8
30,13
30,14
31,5
31,6
31,7
31,8
31,13
31,14
32,5
32,6
32,7
32,8
32,13
32,14
33,5
33,6
33,7
33,8
33,13
33,14
34,5
34,6
34,7
34,8
34,13
34,14
35,5
35,6
35,7
35,8
35,13
35,14
36,5
36,6
36,7
36,8
36,13
36,14
37,5
37,6
37,7
37,8
37,13
37,14
38,5
38,6
38,7
38,8
38,15
38,16
39,5
39,6
39,7
39,8
39,15
39,16
40,5
40,6
40,7
40,8
40,15
40,16
41,5
41,6
41,7
41,8
41,15
41,16
42,5
42,6
42,7
42,8
42,15
42,16
43,5
43,6
43,7
43,8
43,15
43,16
44,5
44,6
44,7
44,8
44,15
44,16
45,5
45,6
45,7
45,8
45,15
45,16
46,5
46,6
46,7
46,8
46,15
46,16
47,5
47,6
47,7
47,8
47,15
47,16
48,5
48,6
48,7
48,8
48,15
48,16
49,5
49,6
49,7
49,8
49,15
49,16
50,5
50,6
50,7
50,8
50,15
50,16
